site_name,site_url
East Lemolo Campground,https://www.fs.usda.gov/recarea/umpqua/recarea/?recid=63492
Magone Lake Campground,https://www.fs.usda.gov/recarea/malheur/recarea/?recid=39964
East Davis Lake Campground,https://www.fs.usda.gov/recarea/deschutes/recarea/?recid=38854
Lost Lake Campground Resort and Day Use Area,https://www.fs.usda.gov/recarea/mthood/recarea/?recid=53228
Anthony Lake,https://www.fs.usda.gov/recarea/wallowa-whitman/recarea/?recid=52199
Musick Guard Station,https://www.fs.usda.gov/recarea/umpqua/recarea/?recid=63428
Lost Lake Campground,https://www.fs.usda.gov/recarea/willamette/recarea/?recid=13362
